FECHA_CORTE,UBIGEO, CUNAMAS - Cuidado Diurno , CUNAMAS - Acompa?miento de Familias , JUNTOS - Hogares afiliados , JUNTOS - Hogares abonados ,FONCODES - N? usuarios estimados,FONCODES - N? proy. Culminados,FONCODES - N? proy. en ejecucion ,FONCODES - N? Hog. Haku Winay -proyectos en ejecucion,FONCODES - N? Hog. Haku Winay -proyectos culminados, PENSION 65 - Usuarios , QALI WARMA - N? de Ni?s y ni?s atendidos , QALI WARMA - N? de IIEE  , CONTIGO - Usuarios , PAIS - N? de Tambos prestando servicios  , PAIS - N? de Atenciones realizadas a trav? de los Tambos  , PAIS - N? de Beneficiarios atendidos a traves de los Tambos  
20240831,10101,96,89,431,410,,,,,,644,"5,234",34,250,,,
20240831,10102,,,14,14,,,,,,33,18,4,4,,,
20240831,10103,,,104,101,,,,,,60,252,15,17,,,
20240831,10104,0,10,35,35,,,,,,48,70,5,17,,,
20240831,10105,,,59,57,,,,,,66,73,9,5,,,
20240831,10106,0,66,190,187,"1,804",,2,440,0,136,372,22,25,,,
20240831,10107,0,2,30,28,,,,,,44,49,4,7,,,
20240831,10108,,,31,30,,,,,,25,36,2,3,,,
20240831,10109,0,170,647,631,,,,0,448,380,"1,364",30,82,,,
20240831,10110,0,95,234,226,,,,,,181,477,15,60,,,
20240831,10111,0,23,25,22,,,,,,41,95,4,15,,,
20240831,10112,,,58,56,,,,,,64,121,2,19,,,
20240831,10113,0,3,64,62,,,,,,42,105,9,20,,,
20240831,10114,0,67,164,163,,,,,,134,432,18,29,,,
20240831,10115,,,28,28,,,,,,50,54,2,2,,,
20240831,10116,0,2,29,27,,,,,,45,29,3,6,,,
20240831,10117,0,9,76,75,,,,,,117,73,12,17,1,646,368
20240831,10118,,,6,6,,,,,,14,16,2,3,,,
20240831,10119,0,18,43,42,,,,,,62,102,4,12,,,
20240831,10120,0,10,109,106,,,,,,168,130,10,36,,,
20240831,10121,,,19,18,,,,,,21,44,4,4,,,
20240831,10201,192,97,544,499,,,,,,805,"4,537",27,431,,,
20240831,10202,0,357,"1,073","1,055",,,,0,400,757,"2,570",99,264,1,"1,427",808
20240831,10203,0,143,489,477,"1,640",,2,400,0,355,771,33,131,,,
20240831,10204,18,0,137,132,,,,,,118,159,4,27,,,
20240831,10205,0,"2,510","3,564","3,425",,,,0,"2,279","1,199","17,839",319,620,4,"3,313","1,839"
20240831,10206,52,0,728,717,,,,,,577,"1,514",68,144,,,
20240831,10301,,,76,76,,,,,,78,257,6,7,,,
20240831,10302,,,34,33,,,,,,32,47,4,3,,,
20240831,10303,,,10,9,,,,,,25,43,2,6,,,
20240831,10304,,,106,102,,,,,,50,169,6,7,,,
20240831,10305,,,50,50,,,,,,43,60,5,13,,,
20240831,10306,0,150,269,264,,,,,,269,1526,28,43,,,
20240831,10307,70,0,306,297,,,,,,325,"2,245",26,97,,,
20240831,10308,,,23,22,,,,,,19,9,2,,,,
20240831,10309,,,8,8,,,,,,37,21,2,6,,,
20240831,10310,,,127,127,,,,,,86,190,10,21,,,
20240831,10311,,,44,42,,,,,,75,109,8,22,,,
20240831,10312,0,161,574,556,,,,,,382,"1,416",40,95,,,
20240831,10401,60,3488,"3,494","3,270",,,,0,"2,242",844,"15,780",249,316,1,2554,746
20240831,10402,0,1864,"1,893","1,846",,,,0,"1,243",560,"7,269",121,147,3,"2,218","1,711"
20240831,10403,0,1895,"2,528","2,476",,,,0,400,426,"9,224",138,182,2,"2,595","1,717"
20240831,10501,,,89,87,,,,,,170,583,9,12,,,
20240831,10502,0,139,615,598,"1,640",,2,400,0,307,"2,003",28,73,,,
20240831,10503,0,100,246,240,"1,640",,2,400,0,123,446,24,24,,,
20240831,10504,0,69,159,156,,,,0,448,208,385,15,38,,,
20240831,10505,0,14,170,169,"1,640",,2,400,0,176,376,13,9,,,
20240831,10506,0,2,18,17,,,,,,66,32,3,7,,,
20240831,10507,,,100,100,,,,,,70,163,4,41,,,
20240831,10508,0,8,68,67,,,,,,80,92,7,8,,,
20240831,10509,0,35,204,203,,,,,,210,"1,006",18,12,,,
20240831,10510,,,34,34,,,,,,24,69,2,9,,,
20240831,10511,0,100,64,64,,,,,,63,128,8,12,,,
20240831,10512,0,122,246,238,"1,960",,2,478,0,260,699,15,67,,,
20240831,10513,0,100,390,380,"1,640",,2,400,0,215,921,33,50,,,
20240831,10514,0,236,618,601,,,,0,400,317,987,58,158,1,"1,751","1,291"
20240831,10515,0,83,151,149,,,,,,131,376,21,33,,,
20240831,10516,,,46,45,,,,0,200,59,95,3,7,,,
20240831,10517,,,47,46,,,,,,63,90,5,6,,,
20240831,10518,,,54,52,,,,0,200,73,59,7,17,1,1595,299
20240831,10519,,,35,35,,,,,,38,56,5,2,,,
20240831,10520,0,119,233,230,,,,0,400,107,436,14,20,1,1028,400
20240831,10521,0,133,277,268,0,2,,0,401,249,612,26,26,1,1616,378
20240831,10522,0,23,80,79,,,,,,72,237,9,13,,,
20240831,10523,0,154,121,120,"1,640",,2,400,0,98,223,6,6,,,
20240831,10601,0,100,83,80,,,,,,305,"1,141",7,68,,,
20240831,10602,0,74,215,206,,,,,,87,537,24,12,,,
20240831,10603,0,21,54,52,,,,,,78,102,4,31,,,
20240831,10604,0,31,46,44,,,,,,316,358,14,106,,,
20240831,10605,0,39,159,155,,,,,,187,372,10,40,,,
20240831,10606,0,27,61,56,"1,640",,2,400,0,172,176,4,44,,,
20240831,10607,0,41,75,74,,,,,,200,230,7,37,,,
20240831,10608,0,7,7,6,,,,,,65,63,4,5,,,
20240831,10609,0,106,952,902,,,,0,405,402,"2,365",78,157,,,
20240831,10610,,,39,39,,,,,,80,64,4,15,,,
20240831,10611,,,2,2,,,,,,41,30,3,18,,,
20240831,10612,0,98,386,121,,,,,,106,745,30,31,,,
20240831,10701,262,489,"2,836","2,777",,,,0,"1,187","2,404","6,170",193,727,,,
20240831,10702,116,537,"2,937","2,879",,,,0,"1,600","1,677","5,024",165,558,,,
20240831,10703,92,130,"1,072","1,049",,,,0,400,572,"1,868",62,258,,,
20240831,10704,0,231,422,405,,,,,,346,993,33,105,,,
20240831,10705,0,156,807,794,291,1,,0,800,396,"1,629",65,145,,,
20240831,10706,80,133,"1,011",996,,,,,,411,"2,323",68,178,,,
20240831,10707,0,129,298,293,,,,,,220,557,27,44,,,
20240831,20101,223,296,590,536,,,,0,400,"1,520","6,607",70,184,,,
20240831,20102,0,56,183,179,,,,,,250,275,19,5,1,557,508
20240831,20103,,,7,7,,,,,,48,18,3,1,,,
20240831,20104,,,148,146,,,,,,296,224,26,20,,,
20240831,20105,282,510,598,561,,,,,,"1,993","8,671",119,162,,,
20240831,20106,0,95,95,96,,,,,,429,791,18,29,,,
20240831,20107,,,115,110,,,,,,140,194,10,3,,,
20240831,20108,0,26,54,55,,,,,,395,296,15,23,,,
20240831,20109,,,27,27,,,,,,183,130,16,8,,,
20240831,20110,,,453,448,0,2,,0,849,351,1098,30,31,,,
20240831,20111,12,0,291,283,0,4,,0,1200,388,535,27,17,,,
20240831,20112,83,119,133,133,,,,,,475,948,25,33,,,
20240831,20201,16,0,32,30,,,,,,163,222,18,18,1,"1,422",822
20240831,20202,,,146,144,,,,,,165,243,21,14,1,"1,516",641
20240831,20203,,,26,26,,,,,,35,53,3,16,,,
20240831,20204,0,80,129,125,,,,,,237,364,21,19,,,
