fecha,ubigeo,cunamas_diurno,cunamas_familias,juntos_afiliados,juntos_abonados,foncodes_usuarios,foncodes_proyectos_culminados,foncodes_proyectos_ejecucion,haku_winay_ejecucion,haku_winay_culminados,pension65_usuarios,qali_warma_ninos,qali_warma_instituciones,contigo_usuarios,pais_tambos,pais_atenciones,pais_beneficiarios
20240831,10101,96.0,89.0,431.0,410.0,,,,,,644.0,5234.0,34.0,250.0,,,
20240831,10102,,,14.0,14.0,,,,,,33.0,18.0,4.0,4.0,,,
20240831,10103,,,104.0,101.0,,,,,,60.0,252.0,15.0,17.0,,,
20240831,10104,0.0,10.0,35.0,35.0,,,,,,48.0,70.0,5.0,17.0,,,
20240831,10105,,,59.0,57.0,,,,,,66.0,73.0,9.0,5.0,,,
20240831,10106,0.0,66.0,190.0,187.0,1804.0,,2.0,440.0,0.0,136.0,372.0,22.0,25.0,,,
20240831,10107,0.0,2.0,30.0,28.0,,,,,,44.0,49.0,4.0,7.0,,,
20240831,10108,,,31.0,30.0,,,,,,25.0,36.0,2.0,3.0,,,
20240831,10109,0.0,170.0,647.0,631.0,,,,0.0,448.0,380.0,1364.0,30.0,82.0,,,
20240831,10110,0.0,95.0,234.0,226.0,,,,,,181.0,477.0,15.0,60.0,,,
20240831,10111,0.0,23.0,25.0,22.0,,,,,,41.0,95.0,4.0,15.0,,,
20240831,10112,,,58.0,56.0,,,,,,64.0,121.0,2.0,19.0,,,
20240831,10113,0.0,3.0,64.0,62.0,,,,,,42.0,105.0,9.0,20.0,,,
20240831,10114,0.0,67.0,164.0,163.0,,,,,,134.0,432.0,18.0,29.0,,,
20240831,10115,,,28.0,28.0,,,,,,50.0,54.0,2.0,2.0,,,
20240831,10116,0.0,2.0,29.0,27.0,,,,,,45.0,29.0,3.0,6.0,,,
20240831,10117,0.0,9.0,76.0,75.0,,,,,,117.0,73.0,12.0,17.0,1.0,646.0,368.0
20240831,10118,,,6.0,6.0,,,,,,14.0,16.0,2.0,3.0,,,
20240831,10119,0.0,18.0,43.0,42.0,,,,,,62.0,102.0,4.0,12.0,,,
20240831,10120,0.0,10.0,109.0,106.0,,,,,,168.0,130.0,10.0,36.0,,,
20240831,10121,,,19.0,18.0,,,,,,21.0,44.0,4.0,4.0,,,
20240831,10201,192.0,97.0,544.0,499.0,,,,,,805.0,4537.0,27.0,431.0,,,
20240831,10202,0.0,357.0,1073.0,1055.0,,,,0.0,400.0,757.0,2570.0,99.0,264.0,1.0,1427.0,808.0
20240831,10203,0.0,143.0,489.0,477.0,1640.0,,2.0,400.0,0.0,355.0,771.0,33.0,131.0,,,
20240831,10204,18.0,0.0,137.0,132.0,,,,,,118.0,159.0,4.0,27.0,,,
20240831,10205,0.0,2510.0,3564.0,3425.0,,,,0.0,2279.0,1199.0,17839.0,319.0,620.0,4.0,3313.0,1839.0
20240831,10206,52.0,0.0,728.0,717.0,,,,,,577.0,1514.0,68.0,144.0,,,
20240831,10301,,,76.0,76.0,,,,,,78.0,257.0,6.0,7.0,,,
20240831,10302,,,34.0,33.0,,,,,,32.0,47.0,4.0,3.0,,,
20240831,10303,,,10.0,9.0,,,,,,25.0,43.0,2.0,6.0,,,
20240831,10304,,,106.0,102.0,,,,,,50.0,169.0,6.0,7.0,,,
20240831,10305,,,50.0,50.0,,,,,,43.0,60.0,5.0,13.0,,,
20240831,10306,0.0,150.0,269.0,264.0,,,,,,269.0,1526.0,28.0,43.0,,,
20240831,10307,70.0,0.0,306.0,297.0,,,,,,325.0,2245.0,26.0,97.0,,,
20240831,10308,,,23.0,22.0,,,,,,19.0,9.0,2.0,,,,
20240831,10309,,,8.0,8.0,,,,,,37.0,21.0,2.0,6.0,,,
20240831,10310,,,127.0,127.0,,,,,,86.0,190.0,10.0,21.0,,,
20240831,10311,,,44.0,42.0,,,,,,75.0,109.0,8.0,22.0,,,
20240831,10312,0.0,161.0,574.0,556.0,,,,,,382.0,1416.0,40.0,95.0,,,
20240831,10401,60.0,3488.0,3494.0,3270.0,,,,0.0,2242.0,844.0,15780.0,249.0,316.0,1.0,2554.0,746.0
20240831,10402,0.0,1864.0,1893.0,1846.0,,,,0.0,1243.0,560.0,7269.0,121.0,147.0,3.0,2218.0,1711.0
20240831,10403,0.0,1895.0,2528.0,2476.0,,,,0.0,400.0,426.0,9224.0,138.0,182.0,2.0,2595.0,1717.0
20240831,10501,,,89.0,87.0,,,,,,170.0,583.0,9.0,12.0,,,
20240831,10502,0.0,139.0,615.0,598.0,1640.0,,2.0,400.0,0.0,307.0,2003.0,28.0,73.0,,,
20240831,10503,0.0,100.0,246.0,240.0,1640.0,,2.0,400.0,0.0,123.0,446.0,24.0,24.0,,,
20240831,10504,0.0,69.0,159.0,156.0,,,,0.0,448.0,208.0,385.0,15.0,38.0,,,
20240831,10505,0.0,14.0,170.0,169.0,1640.0,,2.0,400.0,0.0,176.0,376.0,13.0,9.0,,,
20240831,10506,0.0,2.0,18.0,17.0,,,,,,66.0,32.0,3.0,7.0,,,
20240831,10507,,,100.0,100.0,,,,,,70.0,163.0,4.0,41.0,,,
20240831,10508,0.0,8.0,68.0,67.0,,,,,,80.0,92.0,7.0,8.0,,,
20240831,10509,0.0,35.0,204.0,203.0,,,,,,210.0,1006.0,18.0,12.0,,,
20240831,10510,,,34.0,34.0,,,,,,24.0,69.0,2.0,9.0,,,
20240831,10511,0.0,100.0,64.0,64.0,,,,,,63.0,128.0,8.0,12.0,,,
20240831,10512,0.0,122.0,246.0,238.0,1960.0,,2.0,478.0,0.0,260.0,699.0,15.0,67.0,,,
20240831,10513,0.0,100.0,390.0,380.0,1640.0,,2.0,400.0,0.0,215.0,921.0,33.0,50.0,,,
20240831,10514,0.0,236.0,618.0,601.0,,,,0.0,400.0,317.0,987.0,58.0,158.0,1.0,1751.0,1291.0
20240831,10515,0.0,83.0,151.0,149.0,,,,,,131.0,376.0,21.0,33.0,,,
20240831,10516,,,46.0,45.0,,,,0.0,200.0,59.0,95.0,3.0,7.0,,,
20240831,10517,,,47.0,46.0,,,,,,63.0,90.0,5.0,6.0,,,
20240831,10518,,,54.0,52.0,,,,0.0,200.0,73.0,59.0,7.0,17.0,1.0,1595.0,299.0
20240831,10519,,,35.0,35.0,,,,,,38.0,56.0,5.0,2.0,,,
20240831,10520,0.0,119.0,233.0,230.0,,,,0.0,400.0,107.0,436.0,14.0,20.0,1.0,1028.0,400.0
20240831,10521,0.0,133.0,277.0,268.0,0.0,2.0,,0.0,401.0,249.0,612.0,26.0,26.0,1.0,1616.0,378.0
20240831,10522,0.0,23.0,80.0,79.0,,,,,,72.0,237.0,9.0,13.0,,,
20240831,10523,0.0,154.0,121.0,120.0,1640.0,,2.0,400.0,0.0,98.0,223.0,6.0,6.0,,,
20240831,10601,0.0,100.0,83.0,80.0,,,,,,305.0,1141.0,7.0,68.0,,,
20240831,10602,0.0,74.0,215.0,206.0,,,,,,87.0,537.0,24.0,12.0,,,
20240831,10603,0.0,21.0,54.0,52.0,,,,,,78.0,102.0,4.0,31.0,,,
20240831,10604,0.0,31.0,46.0,44.0,,,,,,316.0,358.0,14.0,106.0,,,
20240831,10605,0.0,39.0,159.0,155.0,,,,,,187.0,372.0,10.0,40.0,,,
20240831,10606,0.0,27.0,61.0,56.0,1640.0,,2.0,400.0,0.0,172.0,176.0,4.0,44.0,,,
20240831,10607,0.0,41.0,75.0,74.0,,,,,,200.0,230.0,7.0,37.0,,,
20240831,10608,0.0,7.0,7.0,6.0,,,,,,65.0,63.0,4.0,5.0,,,
20240831,10609,0.0,106.0,952.0,902.0,,,,0.0,405.0,402.0,2365.0,78.0,157.0,,,
20240831,10610,,,39.0,39.0,,,,,,80.0,64.0,4.0,15.0,,,
20240831,10611,,,2.0,2.0,,,,,,41.0,30.0,3.0,18.0,,,
20240831,10612,0.0,98.0,386.0,121.0,,,,,,106.0,745.0,30.0,31.0,,,
20240831,10701,262.0,489.0,2836.0,2777.0,,,,0.0,1187.0,2404.0,6170.0,193.0,727.0,,,
20240831,10702,116.0,537.0,2937.0,2879.0,,,,0.0,1600.0,1677.0,5024.0,165.0,558.0,,,
20240831,10703,92.0,130.0,1072.0,1049.0,,,,0.0,400.0,572.0,1868.0,62.0,258.0,,,
20240831,10704,0.0,231.0,422.0,405.0,,,,,,346.0,993.0,33.0,105.0,,,
20240831,10705,0.0,156.0,807.0,794.0,291.0,1.0,,0.0,800.0,396.0,1629.0,65.0,145.0,,,
20240831,10706,80.0,133.0,1011.0,996.0,,,,,,411.0,2323.0,68.0,178.0,,,
20240831,10707,0.0,129.0,298.0,293.0,,,,,,220.0,557.0,27.0,44.0,,,
20240831,20101,223.0,296.0,590.0,536.0,,,,0.0,400.0,1520.0,6607.0,70.0,184.0,,,
20240831,20102,0.0,56.0,183.0,179.0,,,,,,250.0,275.0,19.0,5.0,1.0,557.0,508.0
20240831,20103,,,7.0,7.0,,,,,,48.0,18.0,3.0,1.0,,,
20240831,20104,,,148.0,146.0,,,,,,296.0,224.0,26.0,20.0,,,
20240831,20105,282.0,510.0,598.0,561.0,,,,,,1993.0,8671.0,119.0,162.0,,,
20240831,20106,0.0,95.0,95.0,96.0,,,,,,429.0,791.0,18.0,29.0,,,
20240831,20107,,,115.0,110.0,,,,,,140.0,194.0,10.0,3.0,,,
20240831,20108,0.0,26.0,54.0,55.0,,,,,,395.0,296.0,15.0,23.0,,,
20240831,20109,,,27.0,27.0,,,,,,183.0,130.0,16.0,8.0,,,
20240831,20110,,,453.0,448.0,0.0,2.0,,0.0,849.0,351.0,1098.0,30.0,31.0,,,
20240831,20111,12.0,0.0,291.0,283.0,0.0,4.0,,0.0,1200.0,388.0,535.0,27.0,17.0,,,
20240831,20112,83.0,119.0,133.0,133.0,,,,,,475.0,948.0,25.0,33.0,,,
20240831,20201,16.0,0.0,32.0,30.0,,,,,,163.0,222.0,18.0,18.0,1.0,1422.0,822.0
20240831,20202,,,146.0,144.0,,,,,,165.0,243.0,21.0,14.0,1.0,1516.0,641.0
20240831,20203,,,26.0,26.0,,,,,,35.0,53.0,3.0,16.0,,,
20240831,20204,0.0,80.0,129.0,125.0,,,,,,237.0,364.0,21.0,19.0,,,
20240831,20205,,,45.0,42.0,,,,,,117.0,77.0,7.0,9.0,,,
20240831,20301,0.0,71.0,216.0,212.0,,,,,,257.0,510.0,20.0,27.0,,,
